Club_ID,Club_Name,Primary language,Address (Street and Number),Zipcode,City,Province,Country,Participation Games 2015,Participation Games 2016,Participation Games 2017,Participation Games 2018,Participation Games 2019,Participation Games 2022,Participation Games 2023,Participation Games 2024,Participation Games 2025
145,LE PRETEXTE,French,Av. Kersbeek 340,1180.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,,False,False,False,False,,,,
146,LE PETIT POUCET,French,Rue du Fief 4,6470.0,SIVRY,Hainaut,BELGIQUE,1.0,True,True,True,True,,1.0,1.0,1.0
147,CENTRE REINE FABIOLA,French,Rue de Neufvilles 455,7063.0,NEUFVILLES,Hainaut,BELGIQUE,1.0,True,True,True,True,,1.0,1.0,1.0
148,LES RENARDS DE VOLAIVILLE,French,Rue de la Misbour 370,6637.0,FAUVILLERS,Luxembourg,BELGIQUE,1.0,True,True,True,True,,1.0,1.0,1.0
152,S.R.A. L'ODYSSEE,French,"Rue de la Paix, 102",6061.0,MONTIGNIES / S / SAMBRE,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
153,L'ESPACE LIOBA,French,"Avenue Vauban, 8",5000.0,NAMUR,Namur,BELGIQUE,1.0,True,True,True,True,1.0,1.0,,1.0
154,LES BLÉS D’OR,French,Route de Velaines 23,7543.0,MOURCOURT,Hainaut,BELGIQUE,,True,True,True,True,1.0,1.0,1.0,1.0
155,DELTA,French,Boulevard de Waterloo 1O5,1000.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
157,DOMITILLE,French,Rue de Bosfagne 51 A,4950.0,WAIMES,Liège,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
158,SPORT ESPOIR,French,Domaine des Croisiers 2,4821.0,DISON  ANDRIMONT,Liège,BELGIQUE,1.0,True,True,True,True,1.0,,1.0,1.0
159,LES BOLETS,French,Chaussée de La Hulpe 331,1170.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,1.0,False,False,False,False,,,,
160,B.S.C. OSTBELGIEN,French,Dorfstraße 37,4780.0,RECHT,Liège,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
161,HOME VALERE DELCROIX,French,"46, rue du Pont Rieu",7500.0,Tournai,Hainaut,Belgique,,False,True,True,True,1.0,1.0,1.0,1.0
162,A.T.L.A.S.H.,French,Grand Route 47,4500.0,TIHANGE,Liège,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
163,FOYER DU FORT,French,Avenue du fort 288,4400.0,Flemalle,Liège,BELGIQUE,1.0,False,False,False,False,,,1.0,1.0
164,ARBOTEAM,French,Rue de Briffoeil 31,7604.0,WASMES A-B,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
165,LE COLOMBIER,French,"Allée de la Cense du Colombier,2",1400.0,NIVELLES,Brabant Wallon,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
166,LES GOELANDS,French,Chemin du Home André Livémont 1,7972.0,AUBECHIES,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
168,VRAIES RICHESSES,French,Rue de la Procession 24,1070.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,1.0,False,False,True,False,,1.0,1.0,
169,CERISAIE SPORT,French,Rue de la Cerisaie 8,4690.0,BASSENGE,Liège,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
173,ALBATROS,French,Chemin du Bois 5,5660.0,PETITE-CHAPELLE,Namur,BELGIQUE,1.0,True,True,True,True,,1.0,1.0,1.0
174,ALTEO MOUSCRON,French,Rue Saint Joseph 2,7700.0,MOUSCRON,Hainaut,BELGIQUE,1.0,True,True,True,True,,,,
176,OLDS BRACQS,French,Rue Ergot 2,7110.0,STREPY-BRACQUEGNIES,Hainaut,BELGIQUE,1.0,True,True,True,True,,,,1.0
